metric,value
Bus:avg_utilization,0.789314
Bus:direction_rev_count,0
Bus:efficiency,0.333111
Bus:transferred_bytes,96064
Bus:transferred_payloads,32000
Host-0:2:avg_evict_wait_ns,0
Host-0:2:avg_latency_ns,1031.78
Host-0:2:bw_gbps,1.98204
Host-0:avg_evict_wait_ns,0
Host-0:avg_latency_ns,1031.78
Host-0:bw_gbps,1.98204
Host-0:cache_evict_count,0
Host-0:cache_hit_count,0
Host-0:random_seed,42
Host-0:req_count,500
id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal read,2,3788fc00,0,177,0,48,0,0,0,0,0,49,177
1,Non-temporal read,2,1439b000,0,209,32,48,0,0,0,0,0,49,209
2,Non-temporal read,2,8242e00,0,241,64,48,0,0,0,0,0,49,241
3,Non-temporal read,2,237be5c0,0,273,96,48,0,0,0,0,0,49,273
4,Non-temporal read,2,2c83b300,0,305,128,48,0,0,0,0,0,49,305
5,Non-temporal read,2,259992c0,0,337,160,48,0,0,0,0,0,49,337
6,Non-temporal read,2,3c971c80,0,369,192,48,0,0,0,0,0,49,369
7,Non-temporal read,2,1574bc00,0,401,224,48,0,0,0,0,0,49,401
8,Non-temporal read,2,2c2bc940,0,433,256,48,0,0,0,0,0,49,433
9,Non-temporal read,2,36a6ec00,0,465,288,48,0,0,0,0,0,49,465
10,Non-temporal read,2,12651f00,0,497,320,48,0,0,0,0,0,49,497
11,Non-temporal read,2,23273500,0,529,352,48,0,0,0,0,0,49,529
12,Non-temporal read,2,50e4500,0,561,384,48,0,0,0,0,0,49,561
14,Non-temporal read,2,4e41d00,0,593,416,48,0,0,0,0,0,49,593
13,Non-temporal read,2,727b540,0,625,426,48,0,0,0,0,0,71,625
15,Non-temporal read,2,2c115dc0,0,657,480,48,0,0,0,0,0,49,657
18,Non-temporal read,2,34f1e9c0,0,689,512,48,0,0,0,0,0,49,689
17,Non-temporal read,2,43ee600,0,721,522,48,0,0,0,0,0,71,721
16,Non-temporal read,2,3d7553c0,0,753,518,48,0,0,0,0,0,107,753
20,Non-temporal read,2,16d89d80,0,785,608,48,0,0,0,0,0,49,785
19,Non-temporal read,2,3927f500,0,817,618,48,0,0,0,0,0,71,817
21,Non-temporal read,2,1b3c80,0,849,649,48,0,0,0,0,0,72,849
23,Non-temporal read,2,32ec5340,0,881,704,48,0,0,0,0,0,49,881
22,Non-temporal read,2,2abdb580,0,913,714,48,0,0,0,0,0,71,913
26,Non-temporal read,2,1c547400,0,945,768,48,0,0,0,0,0,49,945
25,Non-temporal read,2,2dd89380,0,977,778,48,0,0,0,0,0,71,977
24,Non-temporal read,2,12284ec0,0,1009,773,48,0,0,0,0,0,108,1009
27,Non-temporal read,2,3840e240,0,1041,842,48,0,0,0,0,0,71,1041
29,Non-temporal read,2,20cebb00,0,1073,896,48,0,0,0,0,0,49,1073
28,Non-temporal read,2,3eae4440,0,1105,906,48,0,0,0,0,0,71,1105
30,Non-temporal read,2,2f378380,0,1137,960,48,0,0,0,0,0,49,1137
31,Non-temporal read,2,2d5d5580,0,1169,970,48,0,0,0,0,0,71,1169
36,Non-temporal read,2,18713c40,273,1201,737,48,0,0,0,0,14,63,928
32,Non-temporal read,2,3005e300,0,1233,974,48,0,0,0,0,56,131,1233
33,Non-temporal read,2,f3fe700,177,1265,840,48,0,0,0,0,44,120,1088
34,Non-temporal read,2,3d0986c0,209,1297,850,48,0,0,0,0,39,110,1088
37,Non-temporal read,2,1ce434c0,305,1329,820,48,0,0,0,0,5,76,1024
38,Non-temporal read,2,15d47e80,337,1361,825,48,0,0,0,0,0,71,1024
39,Non-temporal read,2,93bdd40,369,1393,825,48,0,0,0,0,0,71,1024
40,Non-temporal read,2,23f41980,401,1425,825,48,0,0,0,0,0,71,1024
42,Non-temporal read,2,3be8cac0,465,1457,815,48,0,0,0,0,0,49,992
41,Non-temporal read,2,38491800,433,1489,857,48,0,0,0,0,0,71,1056
35,Non-temporal read,2,1e598440,241,1521,977,48,0,0,0,0,26,175,1280
43,Non-temporal read,2,26ba1500,497,1553,876,48,0,0,0,0,1,52,1056
45,Non-temporal read,2,2f3b6440,561,1585,847,48,0,0,0,0,0,49,1024
44,Non-temporal read,2,27086200,529,1617,889,48,0,0,0,0,0,71,1088
46,Non-temporal read,2,1c45b480,593,1649,857,48,0,0,0,0,0,71,1056
47,Non-temporal read,2,3099fd00,625,1681,857,48,0,0,0,0,0,71,1056
48,Non-temporal read,2,1e66fc00,657,1713,857,48,0,0,0,0,0,71,1056
49,Non-temporal read,2,2de87540,689,1745,857,48,0,0,0,0,0,71,1056
50,Non-temporal read,2,10c4a580,721,1777,857,48,0,0,0,0,0,71,1056
51,Non-temporal read,2,2a2b540,753,1809,857,48,0,0,0,0,0,71,1056
52,Non-temporal read,2,3a40d480,785,1841,857,48,0,0,0,0,0,71,1056
53,Non-temporal read,2,ec32dc0,817,1873,857,48,0,0,0,0,0,71,1056
54,Non-temporal read,2,37fee2c0,849,1905,857,48,0,0,0,0,0,71,1056
55,Non-temporal read,2,19aa0780,881,1937,857,48,0,0,0,0,0,71,1056
56,Non-temporal read,2,4deb140,913,1969,857,48,0,0,0,0,0,71,1056
57,Non-temporal read,2,118a2d80,945,2001,879,48,0,0,0,0,0,49,1056
58,Non-temporal read,2,3662e740,977,2033,857,48,0,0,0,0,0,71,1056
59,Non-temporal read,2,2b234c00,1009,2065,879,48,0,0,0,0,0,49,1056
60,Non-temporal read,2,3645080,1041,2097,857,48,0,0,0,0,0,71,1056
61,Non-temporal read,2,30b51d00,1073,2129,857,48,0,0,0,0,0,71,1056
62,Non-temporal read,2,ab96000,1105,2161,879,48,0,0,0,0,0,49,1056
