,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000105,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000105,0.000105,0.000132,0.000158,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000158,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000105,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000105,0.000132,0.000132,0.000132,0.000132,0.000132,0.000158,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000105,0.000132,0.000132,0.000131914
3,1,1,0,0.00106,0.00106,0.00106,0.000885,0.000885,0.00106,0.00106,0.00106,0.00106,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.00106,0.00106,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.000885,0.000885,0.00106,0.000885,0.000885,0.000885,0.000885,0.00106,0.00106,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.00106,0.00106,0.00106,0.00106,0.000885,0.00106,0.00106,0.00106,0.00106,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.00106,0.00106,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.00106,0.00106,0.00106,0.000885,0.000885,0.00106,0.00106,0.00106,0.00106,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.000885,0.00106,0.00106,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.000885,0.000708,0.000708,0.000708,0.000708,0.000708,0.000708,0.00087193
6,1,2,0,0.00143,0.00143,0.00143,0.0012,0.0012,0.00143,0.00143,0.00143,0.00143,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.00143,0.00143,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.00143,0.00143,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.00143,0.00143,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.00143,0.00143,0.00143,0.0012,0.0012,0.00143,0.00143,0.00143,0.00143,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.00143,0.00143,0.0012,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.000957,0.001180648
9,1,3,0,0.00201,0.00201,0.00201,0.00168,0.00168,0.00201,0.00201,0.00201,0.00201,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00201,0.00201,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00201,0.00201,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00201,0.00201,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00201,0.00201,0.00201,0.00168,0.00168,0.00201,0.00201,0.00201,0.00201,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00201,0.00201,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00168,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.001658203
12,1,4,0,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.0027,0.0027,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00225,0.0018,0.0018,0.0018,0.0018,0.00112,0.0018,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.0027,0.0027,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.0027,0.0027,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.0027,0.0027,0.00225,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00112,0.0018,0.002225313
15,1,5,0,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00363,0.00363,0.00302,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00302,0.00242,0.00242,0.00242,0.00242,0.00151,0.00242,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00363,0.00363,0.00302,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00302,0.00242,0.00242,0.00242,0.00242,0.00151,0.00242,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00363,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00363,0.00363,0.00302,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00302,0.00242,0.00242,0.00242,0.00242,0.00151,0.00242,0.00363,0.00363,0.00363,0.00302,0.00363,0.00363,0.00363,0.00363,0.00363,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00363,0.00363,0.00302,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00302,0.00242,0.00242,0.00242,0.00242,0.00151,0.00242,0.002981016
18,1,6,0,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00668,0.00668,0.00557,0.00445,0.00445,0.00445,0.00445,0.00445,0.00445,0.00557,0.00445,0.00445,0.00445,0.00445,0.00278,0.00445,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00668,0.00668,0.00557,0.00445,0.00557,0.00445,0.00445,0.00445,0.00445,0.00557,0.00445,0.00445,0.00445,0.00445,0.00278,0.00445,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00668,0.00668,0.00557,0.00445,0.00445,0.00445,0.00445,0.00445,0.00445,0.00557,0.00445,0.00445,0.00445,0.00445,0.00278,0.00445,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00668,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00557,0.00668,0.00668,0.00557,0.00445,0.00445,0.00445,0.00445,0.00445,0.00445,0.00557,0.00445,0.00445,0.00445,0.00445,0.00278,0.00445,0.005496797
21,700,0,0,0.000188,0.000226,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000151,0.000188,0.000188,0.000188,0.000151,0.000151,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000151,0.000188,0.000151,0.000188,0.000226,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000151,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000226,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000226,0.000188,0.000188,0.000188,0.000151,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000226,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000151,0.000188,0.000188,0.000188,0.000151,0.000151,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000186594
24,700,1,0,0.0016,0.0016,0.0016,0.00133,0.00133,0.0016,0.0016,0.0016,0.0016,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133,0.0016,0.0016,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.0016,0.0016,0.0016,0.0016,0.00133,0.0016,0.0016,0.0016,0.0016,0.00133,0.00133,0.0016,0.0016,0.00133,0.00133,0.00133,0.0016,0.0016,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.0016,0.0016,0.0016,0.00133,0.00133,0.0016,0.0016,0.0016,0.0016,0.00133,0.00133,0.0016,0.0016,0.00133,0.00133,0.00133,0.0016,0.0016,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.0016,0.0016,0.0016,0.00133,0.00133,0.0016,0.0016,0.0016,0.0016,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133,0.0016,0.0016,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00133,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.001318984
27,700,2,0,0.00232,0.00232,0.00232,0.00194,0.00194,0.00232,0.00232,0.00232,0.00232,0.00194,0.00194,0.00232,0.00194,0.00194,0.00194,0.00194,0.00232,0.00232,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00194,0.00232,0.00194,0.00194,0.00194,0.00194,0.00232,0.00232,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00232,0.00232,0.00232,0.00232,0.00194,0.00232,0.00232,0.00232,0.00232,0.00194,0.00194,0.00232,0.00194,0.00194,0.00194,0.00194,0.00232,0.00232,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00232,0.00232,0.00232,0.00194,0.00194,0.00232,0.00232,0.00232,0.00232,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00232,0.00232,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.00194,0.00155,0.00155,0.00155,0.00155,0.00155,0.00155,0.001921406
