,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.000218,0.000218,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000218,0.000181,0.000181,0.000145,0.000218,0.000218,0.000145,0.000145,0.000145,0.000145,0.000145,0.000145,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000145,0.000218,0.000218,0.000218,0.000181,0.000181,0.000181,0.000181,0.000181,0.000218,0.000181,0.000181,0.000218,0.000218,0.000218,0.000181,0.000181,0.000218,0.000218,0.000181,0.000145,0.000145,0.000145,0.000145,0.000145,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000145,0.000218,0.000218,0.000218,0.000181,0.000181,0.000181,0.000218,0.000181,0.000218,0.000181,0.000181,0.000218,0.000218,0.000218,0.000181,0.000181,0.000218,0.000218,0.000181,0.000145,0.000145,0.000145,0.000145,0.000145,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000145,0.000218,0.000218,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000218,0.000181,0.000181,0.000145,0.000218,0.000218,0.000145,0.000145,0.000145,0.000145,0.000145,0.000145,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.000145,0.000181508
3,1,1,0,0.00266,0.00266,0.00266,0.00221,0.00221,0.00266,0.00266,0.00266,0.00266,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00266,0.00266,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00266,0.00266,0.00266,0.00266,0.00266,0.00266,0.00266,0.00266,0.00266,0.00266,0.00221,0.00266,0.00221,0.00221,0.00221,0.00221,0.00266,0.00266,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00266,0.00266,0.00266,0.00266,0.00221,0.00266,0.00266,0.00266,0.00266,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00266,0.00266,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00266,0.00266,0.00266,0.00221,0.00221,0.00266,0.00266,0.00266,0.00266,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00221,0.00266,0.00266,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00221,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.002189141
6,1,2,0,0.00352,0.00352,0.00352,0.00293,0.00352,0.00352,0.00352,0.00352,0.00352,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00352,0.00352,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00352,0.00352,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00352,0.00352,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00352,0.00352,0.00352,0.00293,0.00293,0.00352,0.00352,0.00352,0.00352,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00352,0.00352,0.00293,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.002901563
9,1,3,0,0.00483,0.00483,0.00483,0.00402,0.00402,0.00483,0.00483,0.00483,0.00483,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00483,0.00483,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00483,0.00483,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00483,0.00483,0.00483,0.00402,0.00483,0.00483,0.00483,0.00483,0.00483,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00483,0.00483,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00483,0.00483,0.00483,0.00402,0.00402,0.00483,0.00483,0.00483,0.00483,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00483,0.00483,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.00402,0.00322,0.00322,0.00322,0.00322,0.00322,0.00322,0.003973125
12,1,4,0,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.0063,0.0063,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.0063,0.0063,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.0063,0.0063,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0063,0.0063,0.0063,0.00525,0.0063,0.0063,0.0063,0.0063,0.0063,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.00525,0.0063,0.0063,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.00525,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.005217187
15,1,5,0,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00814,0.00814,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00814,0.00814,0.00678,0.00542,0.00678,0.00542,0.00542,0.00542,0.00542,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00814,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00814,0.00814,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00814,0.00814,0.00814,0.00678,0.00814,0.00814,0.00814,0.00814,0.00814,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00678,0.00814,0.00814,0.00678,0.00542,0.00542,0.00542,0.00542,0.00542,0.00542,0.00678,0.00542,0.00542,0.00542,0.00542,0.00339,0.00542,0.006732266
18,1,6,0,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0138,0.0138,0.0115,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0138,0.0138,0.0115,0.0115,0.0115,0.0092,0.0092,0.0092,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0138,0.0138,0.0115,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0138,0.0138,0.0115,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.0115,0.0092,0.0092,0.0092,0.0092,0.00575,0.0092,0.011508984
21,700,0,0,0.000395,0.000395,0.000395,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000329,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000263,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000395,0.000329,0.000395,0.000329,0.000329,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000395,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000263,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000395,0.000329,0.000395,0.000329,0.000329,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000395,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000263,0.000395,0.000395,0.000395,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000395,0.000395,0.000395,0.000329,0.000329,0.000395,0.000329,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000263,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000263,0.000331578
24,700,1,0,0.00385,0.00385,0.00385,0.0032,0.0032,0.00385,0.00385,0.00385,0.00385,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.00385,0.00385,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.00385,0.00385,0.00385,0.00385,0.0032,0.00385,0.00385,0.00385,0.00385,0.0032,0.0032,0.00385,0.00385,0.0032,0.0032,0.0032,0.00385,0.00385,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.00385,0.00385,0.00385,0.0032,0.0032,0.00385,0.00385,0.00385,0.00385,0.0032,0.0032,0.00385,0.00385,0.0032,0.0032,0.0032,0.00385,0.00385,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.00385,0.00385,0.00385,0.0032,0.0032,0.00385,0.00385,0.00385,0.00385,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.00385,0.00385,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.0032,0.00256,0.00256,0.00256,0.00256,0.00256,0.00256,0.003168203
27,700,2,0,0.00536,0.00536,0.00536,0.00536,0.00447,0.00536,0.00536,0.00536,0.00536,0.00447,0.00447,0.00447,0.00447,0.00447,0.00447,0.00447,0.00536,0.00536,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00447,0.00536,0.00447,0.00447,0.00447,0.00447,0.00536,0.00536,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00536,0.00447,0.00447,0.00536,0.00447,0.00447,0.00447,0.00447,0.00536,0.00536,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00536,0.00536,0.00536,0.00447,0.00447,0.00536,0.00536,0.00536,0.00536,0.00447,0.00447,0.00447,0.00447,0.00447,0.00447,0.00447,0.00536,0.00536,0.00447,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.004431406
