,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.000582,0.000727,0.000727,0.000727,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000582,0.000582,0.000582,0.000582,0.000582,0.000727,0.000727,0.000727,0.000873,0.000873,0.000873,0.000727,0.000582,0.000727,0.000727,0.000727,0.000582,0.000582,0.000727,0.000582,0.000727,0.000727,0.000727,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000582,0.000582,0.000582,0.000582,0.000582,0.000727,0.000727,0.000727,0.000873,0.000873,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000727,0.000727,0.000582,0.000727,0.000727,0.000873,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000582,0.000582,0.000582,0.000582,0.000582,0.000727,0.000873,0.000727,0.000873,0.000873,0.000873,0.000727,0.000727,0.000727,0.000873,0.000727,0.000582,0.000727,0.000727,0.000582,0.000727,0.000727,0.000727,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000582,0.000582,0.000582,0.000582,0.000582,0.000727,0.000727,0.000727,0.000873,0.000873,0.000873,0.000727,0.000727,0.000727,0.000727,0.000727,0.000582,0.000727,0.000727,0.000710156
3,1,1,0,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000251,0.000251,0.000251,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000251,0.000251,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000251,0.000251,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000314,0.000251,0.000251,0.000251,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000314,0.000314,0.000314,0.000314,0.000314,0.000377,0.000377,0.000314,0.000314,0.000314,0.000314984
6,1,2,0,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000259,0.000259,0.000259,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000259,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000259,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000259,0.000259,0.000324,0.000324,0.000324,0.000324,0.000324,0.000389,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324,0.000324
9,1,3,0,0.000378,0.000454,0.000378,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000454,0.000454,0.000378,0.000378,0.000303,0.000378,0.000303,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000378,0.000303,0.000378,0.000454,0.000454,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000454,0.000378,0.000378,0.000378,0.000454,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000454,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000378,0.000303,0.000385195
12,1,4,0,0.000462,0.000555,0.000555,0.000462,0.000462,0.000555,0.000555,0.000462,0.000555,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000555,0.000555,0.000462,0.00037,0.00037,0.000462,0.00037,0.00037,0.000462,0.000462,0.000462,0.000462,0.000462,0.00037,0.00037,0.00037,0.000462,0.000555,0.000555,0.000462,0.000462,0.000555,0.000555,0.000555,0.000555,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000555,0.000555,0.000462,0.00037,0.000462,0.000462,0.00037,0.00037,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.00037,0.000462,0.000555,0.000555,0.000462,0.000462,0.000555,0.000555,0.000555,0.000555,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000555,0.000555,0.000462,0.00037,0.00037,0.000462,0.00037,0.00037,0.000462,0.000462,0.000462,0.000462,0.000462,0.00037,0.000462,0.00037,0.000462,0.000555,0.000555,0.000462,0.000462,0.000555,0.000555,0.000462,0.000555,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000462,0.000555,0.000555,0.000462,0.00037,0.00037,0.000462,0.00037,0.00037,0.000462,0.000462,0.000462,0.000462,0.000462,0.00037,0.000462,0.00037,0.000467266
15,1,5,0,0.000612,0.000734,0.000734,0.000612,0.000612,0.000734,0.000734,0.000734,0.000734,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000734,0.000734,0.000612,0.000489,0.000489,0.000489,0.000489,0.000489,0.000489,0.000612,0.000489,0.000489,0.000612,0.000489,0.000489,0.000489,0.000612,0.000734,0.000734,0.000612,0.000612,0.000734,0.000734,0.000734,0.000734,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000734,0.000734,0.000612,0.000489,0.000489,0.000489,0.000489,0.000489,0.000489,0.000612,0.000489,0.000612,0.000612,0.000489,0.000489,0.000489,0.000612,0.000734,0.000734,0.000612,0.000612,0.000734,0.000734,0.000734,0.000734,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000734,0.000734,0.000612,0.000489,0.000489,0.000489,0.000489,0.000489,0.000489,0.000612,0.000489,0.000612,0.000612,0.000489,0.000489,0.000489,0.000612,0.000734,0.000734,0.000612,0.000612,0.000734,0.000734,0.000734,0.000734,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000612,0.000734,0.000734,0.000612,0.000489,0.000489,0.000489,0.000489,0.000489,0.000489,0.000612,0.000489,0.000489,0.000612,0.000489,0.000489,0.000489,0.000602141
18,1,6,0,0.00139,0.00139,0.00139,0.00115,0.00139,0.00139,0.00139,0.00139,0.00139,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00139,0.00139,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00139,0.00139,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00139,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00139,0.00139,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.00115,0.00139,0.00139,0.00115,0.00139,0.00139,0.00139,0.00139,0.00139,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00115,0.00139,0.00139,0.00115,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.000924,0.001138594
21,700,0,0,0.00058,0.000725,0.000725,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.000725,0.000725,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.000725,0.000725,0.000725,0.00087,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00058,0.000725,0.000725,0.00058,0.000725,0.000725,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00087,0.000725,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.000725,0.000725,0.000725,0.00087,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00058,0.000725,0.000725,0.00058,0.000725,0.000725,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00087,0.000725,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.000725,0.000725,0.000725,0.00087,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00058,0.000725,0.000725,0.00058,0.000725,0.000725,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00087,0.000725,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.000725,0.000725,0.000725,0.00087,0.00087,0.00087,0.000725,0.000725,0.000725,0.000725,0.000725,0.00058,0.000725,0.000725,0.000714805
24,700,1,0,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000416,0.000499,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000416,0.000499,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000332,0.000416,0.000416,0.000416,0.000416,0.000416,0.000499,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000416,0.000414008
27,700,2,0,0.000482,0.000578,0.000482,0.000482,0.000482,0.000578,0.000578,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000385,0.000482,0.000385,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000482,0.000385,0.000578,0.000578,0.000578,0.000482,0.000482,0.000578,0.000578,0.000482,0.000578,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000578,0.000482,0.000482,0.000385,0.000385,0.000482,0.000385,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000482,0.000482,0.000482,0.000578,0.000578,0.000482,0.000482,0.000578,0.000578,0.000482,0.000578,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000385,0.000482,0.000385,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000578,0.000482,0.000482,0.000482,0.000482,0.000578,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000385,0.000482,0.000385,0.000482,0.000482,0.000482,0.000482,0.000482,0.000482,0.000385,0.000482,0.000385,0.000481867
