,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.000151,0.000181,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000121,0.000121,0.000121,0.000151,0.000151,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000121,0.000121,0.000151,0.000181,0.000151,0.000181,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000121,0.000121,0.000121,0.000151,0.000151,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000151,0.000151,0.000151,0.000181,0.000151,0.000181,0.000181,0.000151,0.000151,0.000181,0.000151,0.000151,0.000181,0.000151,0.000151,0.000121,0.000121,0.000121,0.000121,0.000151,0.000151,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000151,0.000151,0.000151,0.000181,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000121,0.000121,0.000121,0.000151,0.000151,0.000151,0.000151,0.000181,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000151,0.000121,0.000151,0.000151,0.0001495937499999998
1,1,0,1,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.00017,0.00017,0.00017,0.00017,0.000213,0.000256,0.000213,0.000213,0.000256,0.000213,0.000213,0.000213,0.00017,0.000213,0.000256,0.000213,0.00017,0.00017,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.00017,0.00017,0.00017,0.000213,0.000213,0.000256,0.000256,0.000213,0.000256,0.000213,0.000213,0.000213,0.00017,0.000213,0.000256,0.000213,0.00017,0.00017,0.000213,0.000213,0.000213,0.000213,0.000256,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.00017,0.00017,0.00017,0.00017,0.000213,0.000256,0.000256,0.000213,0.000256,0.000213,0.000213,0.000213,0.00017,0.000213,0.000256,0.000213,0.00017,0.00017,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.000213,0.00017,0.00017,0.00017,0.00017,0.00017,0.000213,0.000256,0.000256,0.000213,0.000256,0.000213,0.000213,0.000213,0.00017,0.000213,0.000256,0.000213,0.00017,0.00017,0.000213,0.00020896875000000017
2,1,0,2,0.000557,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000557,0.000836,0.000696,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000696,0.000836,0.000696,0.000557,0.000348,0.000348,0.000348,0.000557,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000557,0.000557,0.000696,0.000696,0.000696,0.000696,0.000557,0.000836,0.000696,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000696,0.000836,0.000696,0.000557,0.000557,0.000557,0.000557,0.000557,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000557,0.000836,0.000696,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000696,0.000836,0.000696,0.000557,0.000557,0.000557,0.000557,0.000557,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000557,0.000557,0.000696,0.000696,0.000696,0.000696,0.000557,0.000836,0.000696,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000836,0.000696,0.000836,0.000696,0.000557,0.000557,0.000557,0.000557,0.0007000703125000015
3,1,1,0,0.00078,0.00078,0.00078,0.00065,0.00065,0.00078,0.00078,0.00078,0.00078,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00078,0.00078,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00078,0.00078,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00078,0.00078,0.00078,0.00078,0.00065,0.00078,0.00078,0.00078,0.00078,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00078,0.00078,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00078,0.00078,0.00078,0.00065,0.00065,0.00078,0.00078,0.00078,0.00078,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00078,0.00078,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00065,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.0006408593750000006
4,1,1,1,0.000638,0.000766,0.000638,0.000638,0.000638,0.000766,0.000766,0.000766,0.000766,0.000766,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.000638,0.000638,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.000638,0.000638,0.00051,0.00051,0.000638,0.000638,0.000766,0.000766,0.000766,0.000638,0.000766,0.000766,0.000766,0.000766,0.000766,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.000638,0.000638,0.00051,0.00051,0.00051,0.00051,0.00051,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000766,0.000766,0.000638,0.000638,0.000766,0.000766,0.000766,0.000766,0.000766,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.000638,0.000638,0.00051,0.00051,0.00051,0.00051,0.00051,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000766,0.000638,0.000638,0.000638,0.000766,0.000766,0.000766,0.000766,0.000766,0.000638,0.000638,0.000638,0.00051,0.000638,0.000638,0.000638,0.000638,0.000638,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.000638,0.000638,0.00051,0.00051,0.000638,0.0006269999999999994
5,1,1,2,0.000545,0.000654,0.000654,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000436,0.000436,0.000436,0.000545,0.000545,0.000545,0.000545,0.000436,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000436,0.000436,0.000545,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000436,0.000654,0.000545,0.000545,0.000545,0.000436,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000436,0.000654,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000654,0.000654,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000436,0.000436,0.000654,0.000545,0.000545,0.000545,0.000436,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.000545,0.0005492578124999995
6,1,2,0,0.00107,0.00107,0.00107,0.000889,0.000889,0.00107,0.00107,0.00107,0.00107,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.00107,0.00107,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.00107,0.00107,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.00107,0.00107,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.00107,0.00107,0.00107,0.000889,0.000889,0.00107,0.00107,0.00107,0.00107,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.000889,0.00107,0.00107,0.000889,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.0008774453125000015
7,1,2,1,0.000949,0.00114,0.000949,0.000949,0.000949,0.00114,0.00114,0.00114,0.00114,0.00114,0.000949,0.000949,0.000949,0.000759,0.000949,0.000949,0.000949,0.000949,0.000949,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000949,0.000949,0.000759,0.000759,0.000949,0.00114,0.00114,0.00114,0.00114,0.000949,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.000949,0.000949,0.000759,0.000949,0.000949,0.000949,0.000949,0.000949,0.000759,0.000759,0.000759,0.000759,0.000759,0.000949,0.000949,0.000759,0.000949,0.000949,0.000759,0.000759,0.000949,0.000949,0.00114,0.00114,0.00114,0.000949,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.000949,0.000949,0.000759,0.000949,0.000949,0.000949,0.000949,0.000949,0.000759,0.000759,0.000759,0.000759,0.000759,0.000949,0.000949,0.000759,0.000949,0.000949,0.000759,0.000759,0.000949,0.000949,0.00114,0.000949,0.000949,0.000949,0.00114,0.00114,0.00114,0.00114,0.00114,0.000949,0.000949,0.000949,0.000759,0.000949,0.000949,0.000949,0.000949,0.000949,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000759,0.000949,0.000949,0.000759,0.000759,0.000949,0.0009358828125000007
8,1,2,2,0.000775,0.000929,0.000929,0.000775,0.000775,0.000929,0.000929,0.000929,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.00062,0.00062,0.000775,0.000775,0.000775,0.000775,0.00062,0.00062,0.00062,0.00062,0.000775,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.000775,0.000775,0.000929,0.000929,0.000775,0.000929,0.000929,0.000929,0.000929,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.00062,0.000929,0.000775,0.000775,0.000775,0.00062,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.00062,0.00062,0.000775,0.000775,0.000775,0.000929,0.000929,0.000775,0.000929,0.000929,0.000929,0.000929,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.00062,0.000929,0.000775,0.000775,0.000775,0.00062,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.00062,0.00062,0.000775,0.000775,0.000775,0.000929,0.000929,0.000775,0.000775,0.000929,0.000929,0.000929,0.000775,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.00062,0.000775,0.000775,0.000775,0.000775,0.00062,0.000775,0.000775,0.000775,0.000775,0.00062,0.00062,0.00062,0.00062,0.00062,0.000775,0.000775,0.0007639140624999988
9,1,3,0,0.00148,0.00148,0.00148,0.00123,0.00123,0.00148,0.00148,0.00148,0.00148,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00148,0.00148,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00123,0.00148,0.00123,0.00123,0.00123,0.00123,0.00148,0.00148,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00148,0.00148,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00148,0.00148,0.00148,0.00123,0.00123,0.00148,0.00148,0.00148,0.00148,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00148,0.00148,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.00123,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,0.0012212812499999997
