option,r1,r2,r3,r4,r5,r6,r7
1,FEh,FEh,FEh,FEh,FEh,FAh,FCh
2,FCh,FEh,FCh,F7h,F7h,F1h,F4h
3,ECh,F1h,F3h,ECh,ECh,E7h,E3h
4,ECh,F3h,F3h,F0h,F2h,EFh,EDh
5,F1h,F8h,F3h,F2h,EFh,EBh,E7h
6,FAh,F9h,F3h,F2h,EFh,EAh,E7h
7,FDh,FBh,F3h,F2h,EFh,EBh,E8h
8,ECh,F1h,EAh,EAh,F1h,EAh,E8h
9,ECh,F1h,ECh,E9h,EFh,EAh,E8h
10,ECh,F1h,EBh,E7h,EBh,E4h,E0h
11,ECh,F1h,EDh,E5h,E7h,DCh,DAh
12,ECh,F1h,ECh,E3h,E5h,DAh,DAh
13,ECh,F1h,ECh,E3h,E3h,D8h,D6h
14,ECh,F0h,ECh,E3h,E1h,D8h,D2h
15,ECh,EEh,E9h,E1h,DFh,D6h,CEh
16,ECh,ECh,E8h,E1h,DDh,D2h,CCh
17,ECh,ECh,E6h,DFh,DBh,D0h,CAh
18,ECh,ECh,E6h,DFh,D9h,CEh,C8h
19,EDh,FBh,FBh,F1h,F0h,EAh,E4h
20,ECh,F8h,F8h,EEh,ECh,E7h,E0h
21,EBh,F4h,F3h,EAh,E7h,E5h,DDh
22,ECh,F0h,EDh,E7h,E2h,E0h,D9h
23,E8h,E9h,E9h,EEh,EFh,E5h,E5h
24,E4h,EDh,EFh,EBh,EAh,E4h,E3h
25,E3h,EBh,ECh,E6h,E7h,E2h,E1h
26,E2h,E9h,E9h,E2h,E4h,E0h,DFh
